,ATB DATE,ATUB DATE,ATA DATE,ATD DATE,Month,HY,"Financial
Year",Port Name,BU_CD,Terminal,VCN,Berth No,CARGO GROUP,Commodity Type,Commodity,"TAT (ATB  -ATUB)
HOUR","TAT
(ATA - ATD)
HOUR",Base Status,Total Weight,QTY IN LAKH MT,Qty in MMT,TEUs ('000),Port Delay (Hrs),Vessel Delay (Hrs),Productivity,Coast,DEAD WT,VSL GROUP,"LOAD
PORT",DISCHARGE PORT,LAST PORT OF CALL,NEXT PORT OF CALL,Vessel Name
52,2019-10-13 23:00:00,2019-10-20 21:24:00,2019-10-13 22:00:00,2019-10-20 22:00:00,Oct 2019,H2,2019-20,MUNDRA,LPG,T1,192612,B01,LIQUID,LIQUEFIED PETROLEUM GAS,LPG BUTANE,166.4,168.0,IMPORT,27000.0,0.27,0.027,0.0,0.0,0.0,3894.23,WEST,47030.0,MEDIUM GAS CARRIER,RASLAFFAN,MUNDRA PORT,RASLAFFAN,MUMBAI PORT,LPG/C GAS COMMERCE
55,2019-10-31 12:54:00,2019-11-01 19:18:00,2019-10-31 12:00:00,2019-11-01 19:57:00,Nov 2019,H2,2019-20,MUNDRA,LPG,T1,192752,B01,LIQUID,LIQUEFIED PETROLEUM GAS,LPG BUTANE,30.4,31.95,IMPORT,8800.0,0.09,0.009,0.0,0.0,0.0,6947.37,WEST,48047.0,MEDIUM GAS CARRIER,RASLAFFAN,MUNDRA PORT,RASLAFFAN,HALDIA,LPG/C LAVENDER PASSAGE
64,2019-11-27 13:18:00,2019-11-28 21:54:00,2019-11-27 12:36:00,2019-11-28 22:33:00,Nov 2019,H2,2019-20,MUNDRA,LPG,T1,193018,B01,LIQUID,LIQUEFIED PETROLEUM GAS,LPG BUTANE,32.6,33.95,IMPORT,11500.0,0.12,0.012,0.0,0.0,0.0,8466.26,WEST,53556.0,LARGE GAS CARRIER,RASLAFFAN,MUNDRA PORT,RASLAFFAN,HALDIA,LPG/C BW ENERGY
67,2019-12-18 15:00:00,2019-12-20 01:24:00,2019-12-18 14:00:00,2019-12-20 01:57:00,Dec 2019,H2,2019-20,MUNDRA,LPG,T1,193172,B01,LIQUID,LIQUEFIED PETROLEUM GAS,LPG BUTANE,34.4,35.95,IMPORT,12604.0,0.13,0.013,0.0,0.0,0.0,8793.49,WEST,3995.0,MEDIUM GAS CARRIER,MENA AL-AHMADI,MUNDRA PORT,MINA AL AHMADI,KANDLA,LPG/C JAG VASANT
71,2020-01-03 03:30:00,2020-01-04 16:33:00,2020-01-03 02:45:00,2020-01-04 17:03:00,Jan 2020,H2,2019-20,MUNDRA,LPG,T1,200086,B01,LIQUID,LIQUEFIED PETROLEUM GAS,LPG BUTANE,37.05,38.3,IMPORT,12397.599,0.12,0.012,0.0,0.0,0.0,8030.83,WEST,58691.0,LARGE GAS CARRIER,RASLAFFAN,MUNDRA PORT,RASLAFFAN,KANDLA,LPG/C CAPTAIN JOHN NP
75,2020-01-16 03:12:00,2020-01-17 19:25:00,2020-01-16 02:00:00,2020-01-17 19:50:00,Jan 2020,H2,2019-20,MUNDRA,LPG,T1,200220,B01,LIQUID,LIQUEFIED PETROLEUM GAS,LPG BUTANE,40.22,41.83,IMPORT,16668.743,0.17,0.017,0.0,0.0,0.0,9947.36,WEST,,MEDIUM GAS CARRIER,RASLAFFAN,MUNDRA PORT,RASLAFFAN,KANDLA,LPG/C GAS COURAGE
79,2020-01-22 21:24:00,2020-01-24 13:12:00,2020-01-22 20:30:00,2020-01-25 13:45:00,Jan 2020,H2,2019-20,MUNDRA,LPG,T1,200304,B01,LIQUID,LIQUEFIED PETROLEUM GAS,LPG BUTANE,39.8,65.25,IMPORT,14790.0,0.15,0.015,0.0,0.0,0.0,8918.59,WEST,,MEDIUM GAS CARRIER,RASLAFFAN,MUNDRA PORT,RASLAFFAN,MUMBAI PORT,LPG/C JAG VASANT
81,2020-02-01 03:00:00,2020-02-03 08:54:00,2020-02-01 01:54:00,2020-02-03 09:25:00,Feb 2020,H2,2019-20,MUNDRA,LPG,T1,200411,B01,LIQUID,LIQUEFIED PETROLEUM GAS,LPG BUTANE,53.9,55.52,IMPORT,22964.0,0.23,0.023,0.0,0.0,0.0,10225.16,WEST,51826.0,LARGE GAS CARRIER,RUWAIS,MUNDRA PORT,RUWAIS,RASLAFFAN,LPG/C MAREENA GAS
83,2020-02-08 06:42:00,2020-02-09 15:48:00,2020-02-03 13:30:00,2020-02-09 16:15:00,Feb 2020,H2,2019-20,MUNDRA,LPG,T1,200419,B01,LIQUID,LIQUEFIED PETROLEUM GAS,LPG BUTANE,33.1,146.75,IMPORT,12557.92,0.13,0.013,0.0,0.0,112.5,9105.44,WEST,41276.0,LARGE GAS CARRIER,RASTANURA,MUNDRA PORT,RASTANURA,RASLAFFAN,LPG/C JAG VIRAAT
87,2020-02-23 00:36:00,2020-02-24 17:48:00,2020-02-22 23:30:00,2020-02-24 18:15:00,Feb 2020,H2,2019-20,MUNDRA,LPG,T1,200604,B01,LIQUID,LIQUEFIED PETROLEUM GAS,LPG BUTANE,41.2,42.75,IMPORT,2437.5,0.02,0.002,0.0,0.0,0.0,1419.9,WEST,21845.0,MEDIUM GAS CARRIER,PARAS TANURA,MUNDRA PORT LIMITED,RASTANURA,KANDLA,LPG/C BRUSSELS
