,ATB DATE,ATUB DATE,ATA DATE,ATD DATE,Month,HY,"Financial
Year",Port Name,BU_CD,Terminal,VCN,Berth No,CARGO GROUP,Commodity Type,Commodity,"TAT (ATB  -ATUB)
HOUR","TAT
(ATA - ATD)
HOUR",Base Status,Total Weight,QTY IN LAKH MT,Qty in MMT,TEUs ('000),Port Delay (Hrs),Vessel Delay (Hrs),Productivity,Coast,DEAD WT,VSL GROUP,"LOAD
PORT",DISCHARGE PORT,LAST PORT OF CALL,NEXT PORT OF CALL,Vessel Name
523,2019-06-20 15:05:00,2019-06-25 19:18:00,2019-06-20 14:20:00,2019-06-25 19:45:00,Jun 2019,H1,2019-20,MUNDRA,DRY,T2,191626,B05,DRY,STEEL CARGO,STEEL PIPES,0.0,0.0,EXPORT,3732.847,0.04,0.004,0.0,0.0,0.0,721.23,WEST,4986.0,HANDYSIZE,MUNDRA PORT,PORT SAID,DAR-ES-SALAAM,SUEZ CANAL,MV BBC DELAWARE
573,2019-11-07 18:24:00,2019-11-11 06:12:00,2019-11-07 10:48:00,2019-11-11 06:51:00,Nov 2019,H2,2019-20,MUNDRA,DRY,T2,192771,B05,DRY,STEEL CARGO,STEEL PIPES,0.0,0.0,EXPORT,18573.223,0.19,0.019,0.0,0.0,0.0,5319.3,WEST,15712.0,POST PANAMAX,MUNDRA PORT,VANCOURVER,OKHA,STEWART,MV THOR BRAVE
759,2019-07-11 15:30:00,2019-07-14 10:12:00,2019-07-10 21:18:00,2019-07-14 10:45:00,Jul 2019,H1,2019-20,MUNDRA,DRY,T2,191791,B06,DRY,STEEL CARGO,STEEL PIPES,66.7,85.45,EXPORT,8112.464,0.08,0.008,0.0,17.5,0.0,2919.03,WEST,30001.0,HANDYSIZE,MUNDRA PORT,DUQM,MUMBAI PORT,DUQM,MV GREENWICH
762,2019-07-15 12:42:00,2019-07-19 01:24:00,2019-07-15 12:06:00,2019-07-19 02:00:00,Jul 2019,H1,2019-20,MUNDRA,DRY,T2,191867,B06,DRY,STEEL CARGO,STEEL PIPES,0.0,0.0,EXPORT,4284.885,0.04,0.004,0.0,0.0,0.0,1214.14,WEST,14259.0,HANDYSIZE,MUNDRA PORT,VANCOURVER,DAHEJ,SINGAPORE,MV INTERLINK TENACITY
763,2019-07-15 12:42:00,2019-07-19 01:24:00,2019-07-15 12:06:00,2019-07-19 02:00:00,Jul 2019,H1,2019-20,MUNDRA,DRY,T2,191867,B06,DRY,STEEL CARGO,STEEL PIPES,0.0,0.0,EXPORT,9359.254,0.09,0.009,0.0,0.0,0.0,2651.97,WEST,14259.0,HANDYSIZE,MUNDRA PORT,VANCOURVER,DAHEJ,SINGAPORE,MV INTERLINK TENACITY
768,2019-09-03 18:42:00,2019-09-07 07:48:00,2019-09-01 12:50:00,2019-09-07 08:18:00,Sep 2019,H1,2019-20,MUNDRA,DRY,T2,192247,B06,DRY,STEEL CARGO,STEEL PIPES,0.0,0.0,IMPORT,5477.245,0.05,0.005,0.0,0.0,0.0,1544.7,WEST,10690.0,HANDYSIZE,PORTO MARGHERA,MUNDRA PORT,PORT OF DUBAY/DUBAI,SHUAIBA,MV MAPLE LIV
777,2019-07-07 10:08:00,2019-07-11 13:45:00,2019-07-07 09:00:00,2019-07-11 14:15:00,Jul 2019,H1,2019-20,MUNDRA,DRY,T2,191697,B06,DRY,STEEL CARGO,STEEL PIPES,0.0,0.0,EXPORT,1669.175,0.02,0.002,0.0,0.0,0.0,402.14,WEST,,HANDYSIZE,MUNDRA PORT,,BOMBAY,AD DAMMAN,MV DA DAN XIA
778,2019-07-07 10:08:00,2019-07-11 13:45:00,2019-07-07 09:00:00,2019-07-11 14:15:00,Jul 2019,H1,2019-20,MUNDRA,DRY,T2,191697,B06,DRY,STEEL CARGO,STEEL PIPES,0.0,0.0,EXPORT,2652.507,0.03,0.003,0.0,0.0,0.0,639.05,WEST,,HANDYSIZE,MUNDRA PORT,,BOMBAY,AD DAMMAN,MV DA DAN XIA
779,2019-07-07 10:08:00,2019-07-11 13:45:00,2019-07-07 09:00:00,2019-07-11 14:15:00,Jul 2019,H1,2019-20,MUNDRA,DRY,T2,191697,B06,DRY,STEEL CARGO,STEEL PIPES,0.0,0.0,EXPORT,838.691,0.01,0.001,0.0,0.0,0.0,202.06,WEST,,HANDYSIZE,MUNDRA PORT,,BOMBAY,AD DAMMAN,MV DA DAN XIA
796,2020-02-24 23:33:00,2020-02-27 03:42:00,2020-02-24 23:00:00,2020-02-29 01:27:00,Feb 2020,H2,2019-20,MUNDRA,DRY,T2,200616,B06,DRY,STEEL CARGO,STEEL PIPES,52.15,98.45,EXPORT,6489.841,0.06,0.006,0.0,0.0,0.0,2986.7,WEST,14145.0,HANDY MAX,MUNDRA PORT,SOHAR,KARACHI,SOHAR,MV BELFORT
797,2020-02-28 12:10:00,2020-03-05 07:42:00,2020-02-28 11:15:00,2020-03-05 08:09:00,Mar 2020,H2,2019-20,MUNDRA,DRY,T2,200660,B06,DRY,STEEL CARGO,STEEL PIPES,139.53,140.9,EXPORT,4630.886,0.05,0.005,0.0,0.0,0.0,796.52,WEST,5584.3,HANDYSIZE,,,SHUAIBA,PORT OF SKIKDA,MV MORGENSTOND I
798,2020-02-28 12:10:00,2020-03-05 07:42:00,2020-02-28 11:15:00,2020-03-05 08:09:00,Feb 2020,H2,2019-20,MUNDRA,DRY,T2,200660,B06,DRY,STEEL CARGO,STEEL PIPES,0.0,0.0,EXPORT,1221.07,0.01,0.001,0.0,0.0,0.0,210.03,WEST,5584.3,HANDYSIZE,,,SHUAIBA,PORT OF SKIKDA,MV MORGENSTOND I
801,2020-03-17 07:52:00,2020-03-19 13:35:00,2020-03-17 07:05:00,2020-03-19 14:10:00,Mar 2020,H2,2019-20,MUNDRA,DRY,T2,200814,B06,DRY,STEEL CARGO,STEEL PIPES,53.72,55.08,IMPORT,5172.578,0.05,0.005,0.0,0.0,0.0,2311.05,WEST,7592186.0,HANDY MAX,NOVOROSSIYSK,MUNDRA PORT,SOHAR,FOR ORDER,MV CELEBRATION
802,2020-03-20 08:18:00,2020-03-22 22:42:00,2020-03-20 03:18:00,2020-03-24 23:15:00,Mar 2020,H2,2019-20,MUNDRA,DRY,T2,200779,B06,DRY,STEEL CARGO,STEEL PIPES,62.4,115.95,EXPORT,3904.245,0.04,0.004,0.0,0.0,4.45,1501.63,WEST,,HANDYSIZE,MUNDRA PORT,DAMMAM,PARADIP,DAMMAM,MV PROPEL PROGRESS
803,2020-03-28 15:09:00,2020-03-30 23:18:00,2020-03-23 19:36:00,2020-03-30 23:51:00,Mar 2020,H2,2019-20,MUNDRA,DRY,T2,200889,B06,DRY,STEEL CARGO,STEEL PIPES,56.15,172.25,EXPORT,3492.89,0.03,0.003,0.0,0.0,115.05,1492.95,WEST,,HANDY MAX,MUNDRA PORT,DAMMAM,KANDLA,DAMMAM,MV AFRICAN EGRET
806,2020-02-05 16:06:00,2020-02-08 12:18:00,2020-02-05 15:36:00,2020-02-08 12:50:00,Feb 2020,H2,2019-20,MUNDRA,DRY,T2,200431,B06,DRY,STEEL CARGO,STEEL PIPES,68.2,69.23,EXPORT,4609.835,0.05,0.005,0.0,0.0,0.0,1622.23,WEST,14102.6,HANDY MAX,MUNDRA PORT,DAMMAM,BHAVNAGAR,DAMMAM,MV BALTIC PANTHER
808,2020-02-15 09:10:00,2020-02-16 21:25:00,2020-02-15 08:28:00,2020-02-16 22:00:00,Feb 2020,H2,2019-20,MUNDRA,DRY,T2,200504,B06,DRY,STEEL CARGO,STEEL PIPES,0.0,0.0,IMPORT,4019.6,0.04,0.004,0.0,0.0,0.0,2661.25,WEST,8397.0,HANDYSIZE,PORTO MARGHERA,MUNDRA PORT,ABU DHABI,FOR ORDER,MV MARIA CARLA
